604,7.61E-01,2.59E-01,3.19E-05,5.80E-01,0.137
606,7.35E-01,2.36E-01,2.80E-05,5.54E-01,0.157
608,7.08E-01,2.14E-01,2.46E-05,5.28E-01,0.182
610,6.80E-01,1.93E-01,2.16E-05,5.03E-01,0.219
612,6.51E-01,1.74E-01,1.90E-05,4.78E-01,0.262
614,6.22E-01,1.56E-01,1.67E-05,4.54E-01,0.316
616,5.92E-01,1.40E-01,1.47E-05,4.29E-01,0.388
618,5.62E-01,1.25E-01,1.30E-05,4.05E-01,0.467
620,5.32E-01,1.11E-01,1.15E-05,3.81E-01,0.568
622,5.02E-01,9.96E-02,1.01E-05,3.57E-01,0.676
624,4.74E-01,8.92E-02,8.95E-06,3.33E-01,0.787
626,4.45E-01,7.97E-02,7.92E-06,3.09E-01,0.893
628,4.16E-01,7.11E-02,7.01E-06,2.87E-01,0.971
630,3.88E-01,6.30E-02,6.21E-06,2.65E-01,1
632,3.58E-01,5.53E-02,5.51E-06,2.45E-01,0.972
634,3.29E-01,4.81E-02,4.89E-06,2.26E-01,0.861
636,3.02E-01,4.17E-02,4.34E-06,2.08E-01,0.701
638,2.75E-01,3.60E-02,3.86E-06,1.91E-01,0.528
640,2.51E-01,3.10E-02,3.43E-06,1.75E-01,0.386
642,2.28E-01,2.66E-02,3.05E-06,1.60E-01,0.278
644,2.07E-01,2.28E-02,2.72E-06,1.45E-01,0.201
646,1.88E-01,1.95E-02,2.42E-06,1.32E-01,0.141
648,1.69E-01,1.66E-02,2.16E-06,1.19E-01,0.1
650,1.52E-01,1.42E-02,1.93E-06,1.07E-01,0.075
652,1.37E-01,1.23E-02,1.72E-06,9.62E-02,0.057
654,1.22E-01,1.06E-02,1.54E-06,8.63E-02,0.044
656,1.09E-01,9.24E-03,1.38E-06,7.71E-02,0.036
658,9.69E-02,8.03E-03,1.23E-06,6.87E-02,0.029
660,8.59E-02,6.98E-03,1.10E-06,6.10E-02,0.025
662,7.60E-02,6.04E-03,9.89E-07,5.40E-02,0.024
664,6.71E-02,5.21E-03,8.87E-07,4.76E-02,0.02
666,5.91E-02,4.50E-03,7.96E-07,4.18E-02,0.02
668,5.19E-02,3.88E-03,7.14E-07,3.66E-02,0.014
